Fecha,Parque Bicentenario 
ene-75,63.5
feb-75,208.2
mar-75,206.1
abr-75,119.7
may-75,160.1
jun-75,50.1
jul-75,134.7
ago-75,46.4
sep-75,44.5
oct-75,157.8
nov-75,95.3
dic-75,51.3
ene-76,74.2
feb-76,84.6
mar-76,153
abr-76,92.8
may-76,122.3
jun-76,30.2
jul-76,1.4
ago-76,1.4
sep-76,41.2
oct-76,80.3
nov-76,90.2
dic-76,130.4
ene-77,70.6
feb-77,33.1
mar-77,142.6
abr-77,87.2
may-77,73.8
jun-77,50.5
jul-77,9.5
ago-77,18.2
sep-77,119.6
oct-77,107.2
nov-77,19.4
dic-77,117.5
ene-78,58.8
feb-78,80
mar-78,81.6
abr-78,115.5
may-78,75.5
jun-78,13.5
jul-78,72.6
ago-78,3.2
sep-78,118.8
oct-78,21.3
nov-78,75.5
dic-78,91.1
ene-79,51.8
feb-79,43.1
mar-79,119
abr-79,131.4
may-79,169.5
jun-79,74.8
jul-79,9.3
ago-79,76
sep-79,154.8
oct-79,46.5
nov-79,51.5
dic-79,3.5
ene-80,110.3
feb-80,233.6
mar-80,70.8
abr-80,116.8
may-80,28.6
jun-80,27.6
jul-80,6.6
ago-80,14.7
sep-80,67.3
oct-80,134.7
nov-80,134.9
dic-80,70.6
ene-81,9.6
feb-81,108.6
mar-81,152
abr-81,200.8
may-81,57.6
jun-81,25.6
jul-81,14.9
ago-81,56.8
sep-81,38.6
oct-81,85
nov-81,83.4
dic-81,112.9
ene-82,140.9
feb-82,73.8
mar-82,103.6
abr-82,148.3
may-82,158.8
jun-82,5.5
jul-82,38
ago-82,2.7
sep-82,66.6
oct-82,195.5
nov-82,149.5
dic-82,207.6
ene-83,95.7
feb-83,70.1
mar-83,254.7
abr-83,209.5
may-83,115.2
jun-83,26.8
jul-83,6
ago-83,69.6
sep-83,11.1
oct-83,74.9
nov-83,82.8
dic-83,218.6
ene-84,72.5
feb-84,237
mar-84,93.5
abr-84,217
may-84,70.9
jun-84,26.2
jul-84,10.2
ago-84,39
sep-84,163.7
oct-84,143.8
nov-84,95.8
dic-84,21.7
ene-85,57.9
feb-85,44.2
mar-85,82.2
abr-85,116.4
may-85,107.2
jun-85,28.5
jul-85,30.1
ago-85,46.8
sep-85,138.9
oct-85,62.2
nov-85,113.6
dic-85,164.7
ene-86,92.7
feb-86,111.9
mar-86,153.3
abr-86,154.8
may-86,86
jun-86,14
jul-86,239.2
ago-86,6
sep-86,27.6
oct-86,86.8
nov-86,116
dic-86,70.1
ene-87,70
feb-87,53.8
mar-87,116.2
abr-87,136.3
may-87,129.4
jun-87,40.2
jul-87,18.3
ago-87,10.6
sep-87,66.1
oct-87,103.7
nov-87,8
dic-87,4.5
ene-88,75.1
feb-88,118
mar-88,25.2
abr-88,297.8
may-88,114
jun-88,100.2
jul-88,44.8
ago-88,50.4
sep-88,138.9
oct-88,109.5
nov-88,128.8
dic-88,63.5
ene-89,59.1
feb-89,113
mar-89,158.8
abr-89,120.8
may-89,65.4
jun-89,64.6
jul-89,20.1
ago-89,36.7
sep-89,108.8
oct-89,191.2
nov-89,13.9
dic-89,40.2
ene-90,46.6
feb-90,150.2
mar-90,79.7
abr-90,124.8
may-90,19.7
jun-90,21.1
jul-90,15.4
ago-90,37.1
sep-90,27.3
oct-90,246.8
nov-90,39.9
dic-90,46.8
ene-91,96.7
feb-91,48.6
mar-91,232.9
abr-91,84
may-91,104.9
jun-91,30
jul-91,16.1
ago-91,2.9
sep-91,69
oct-91,37.2
nov-91,134.9
dic-91,44.3
ene-92,51.3
feb-92,68.7
mar-92,105
abr-92,96.1
may-92,58.7
jun-92,14.3
jul-92,17.9
ago-92,14.7
sep-92,109.9
oct-92,78.3
nov-92,107.4
dic-92,45.2
ene-93,111.4
feb-93,219.3
mar-93,235.2
abr-93,228.1
may-93,94.6
jun-93,12.7
jul-93,8.2
ago-93,3.3
sep-93,96
oct-93,72
nov-93,128.5
dic-93,177
ene-94,193.4
feb-94,112.2
mar-94,244.4
abr-94,201.1
may-94,103.2
jun-94,0.9
jul-94,2.9
ago-94,3.4
sep-94,27.9
oct-94,90.2
nov-94,186.8
dic-94,79.9
ene-95,14.9
feb-95,85.2
mar-95,118.7
abr-95,158.4
may-95,155.4
jun-95,97.5
jul-95,42.5
ago-95,83.9
sep-95,5.7
oct-95,152.7
nov-95,232.4
dic-95,77.8
ene-96,146.5
feb-96,138.3
mar-96,181.8
abr-96,199.4
may-96,189.4
jun-96,37.2
jul-96,29
ago-96,83.2
sep-96,84.5
oct-96,169.4
nov-96,14.4
dic-96,47.7
ene-97,140.9
feb-97,13.2
mar-97,167.7
abr-97,83.2
may-97,65.9
jun-97,58.8
jul-97,17.7
ago-97,78
sep-97,108.6
oct-97,152.7
nov-97,219.2
dic-97,120.3
ene-98,58.1
feb-98,86.5
mar-98,127.5
abr-98,143.9
may-98,193.9
jun-98,14.5
jul-98,32.2
ago-98,18.8
sep-98,58.8
oct-98,103.6
nov-98,138.6
dic-98,32.6
ene-99,81.6
feb-99,237.2
mar-99,185.3
abr-99,234.1
may-99,70.1
jun-99,126.6
jul-99,25.1
ago-99,24.8
sep-99,136.3
oct-99,87.1
nov-99,101
dic-99,221.2
ene-00,177.3
feb-00,165.8
mar-00,149.5
abr-00,187.6
may-00,123.8
jun-00,66.4
jul-00,22.1
ago-00,9.7
sep-00,67.3
oct-00,43.8
nov-00,16.7
dic-00,76.1
ene-01,84.1
feb-01,63.9
mar-01,186.4
abr-01,63.1
may-01,88.8
jun-01,8.5
jul-01,35
ago-01,94.6
sep-01,9.3
oct-01,113.6
nov-01,118.1
dic-01,36.6
ene-02,59.1
feb-02,123.1
mar-02,256.6
abr-02,133.1
may-02,37.3
jun-02,8.2
jul-02,9.8
ago-02,19.2
sep-02,144.6
oct-02,95
nov-02,152.9
dic-02,25.4
ene-03,79.1
feb-03,100.9
mar-03,244.6
abr-03,28.7
may-03,54.1
jun-03,15.7
jul-03,15.7
ago-03,67.8
sep-03,117.7
oct-03,159.4
nov-03,103.2
dic-03,56
ene-04,34.4
feb-04,75.2
mar-04,156.3
abr-04,113.8
may-04,11
jun-04,6.7
jul-04,0.6
ago-04,97.6
sep-04,98.8
oct-04,125.5
nov-04,94.8
dic-04,37.9
ene-05,150.6
feb-05,134.3
mar-05,84.2
abr-05,37.7
may-05,31.8
jun-05,53.4
jul-05,26.8
ago-05,35.6
sep-05,116
oct-05,58.4
nov-05,115.1
dic-05,52.3
ene-06,105.2
feb-06,202.5
mar-06,209.5
abr-06,113.6
may-06,50.2
jun-06,3.1
jul-06,3.5
ago-06,35.6
sep-06,109.5
oct-06,182.4
nov-06,183
dic-06,66.2
ene-07,67.5
feb-07,177.2
mar-07,188.1
abr-07,101
may-07,22.2
jun-07,12.5
jul-07,33.4
ago-07,3
sep-07,160.1
oct-07,194.7
nov-07,195.7
dic-07,156.5
ene-08,218.4
feb-08,188.8
mar-08,203.8
abr-08,171.3
may-08,56.5
jun-08,12.3
jul-08,37
ago-08,58.7
sep-08,235.3
oct-08,72.4
nov-08,121.2
dic-08,165.8
ene-09,141.5
feb-09,173.8
mar-09,161.3
abr-09,62.7
may-09,35
jun-09,2.6
jul-09,1
ago-09,7.4
sep-09,69.4
oct-09,71.3
nov-09,120
dic-09,4.6
ene-10,46
feb-10,26.5
mar-10,220.4
abr-10,79.4
may-10,34.5
jun-10,93.6
jul-10,59.4
ago-10,87.8
sep-10,51.8
oct-10,167.6
nov-10,181.7
dic-10,82.4
ene-11,182.5
feb-11,145.8
mar-11,372.9
abr-11,55.2
may-11,28.5
jun-11,117.2
jul-11,48.9
ago-11,73.3
sep-11,54.8
oct-11,65.7
nov-11,107
dic-11,158.9
ene-12,125.3
feb-12,143.8
mar-12,203.4
abr-12,40.2
may-12,21.4
jun-12,1.8
jul-12,2.6
ago-12,12.5
sep-12,133.8
oct-12,177
nov-12,60.8
dic-12,43
ene-13,196.4
feb-13,83.1
mar-13,111
abr-13,115.4
may-13,0.3
jun-13,0.1
jul-13,18.2
ago-13,31.8
sep-13,141.7
oct-13,48
nov-13,46.6
dic-13,138
ene-14,60.6
feb-14,213.6
mar-14,46.2
abr-14,219.2
may-14,10.9
jun-14,0.1
jul-14,1.7
ago-14,85.3
sep-14,144.6
oct-14,79.2
nov-14,22.7
dic-14,63.3
ene-15,112.8
feb-15,177.4
mar-15,102.8
abr-15,30.8
may-15,2.5
jun-15,46
jul-15,2.1
ago-15,6.5
sep-15,91.5
oct-15,109.3
nov-15,28.3
dic-15,119.8
ene-16,18.6
feb-16,99.5
mar-16,307.2
abr-16,70.6
may-16,40.3
jun-16,0.9
jul-16,16.2
ago-16,64
sep-16,95.5
oct-16,46.8
nov-16,83.8
dic-16,204.9
ene-17,162.9
feb-17,319.6
mar-17,174.1
abr-17,236.3
may-17,88.8
jun-17,1.1
jul-17,39.3
ago-17,16.9
sep-17,166.4
oct-17,64.9
nov-17,146.9
dic-17,100
ene-18,133.1
feb-18,82.6
mar-18,135.5
abr-18,167.8
may-18,30.2
jun-18,10.9
jul-18,16.4
ago-18,24.1
sep-18,5.7
oct-18,146.8
nov-18,6
dic-18,79.7
ene-19,190.4
feb-19,189.5
mar-19,168.2
abr-19,35.4
may-19,47.5
jun-19,15.4
